名前,タグ,書類制作日付
動画前にザキヤマに提案,"work notes, コンテンツネタ, テスト, マーケティング, 戦略",2024年6月22日 12:32
セキュリティーアップ作業一覧,"HP, WP",2024年6月24日 13:21
占い講座の説明,"VIdeo, アイデア, コンテンツネタ, プロンプト",2024年6月24日 13:42
占い説明書,,2024年6月26日 13:12
プラグイン一覧 / クリーン前,"HP, WP, work notes, エラー, 修正, 情報",2024年6月26日 17:18
データベースのバックアップ、インポート,"HP, WP, work notes, エラー, テスト, 修正, 情報",2024年6月27日 14:50
【修正-2】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　,"VIdeo, work notes, アイデア, 情報",2024年6月27日 18:26
XサーバーWP情報,"HP, WP, work notes",2024年6月30日 12:28
グエンさんに宇宙の素晴らしさを伝える,"アイデア, 情報",2024年7月1日 12:26
健康勉強会の目的、注意点,"work notes, アイデア",2024年7月9日 12:09
健康勉強会　内容アイデア,"work notes, アイデア",2024年7月9日 12:10
健康勉強会　第１回内容,work notes,2024年7月9日 12:11
占い講座の目的,"work notes, アイデア",2024年7月9日 12:24
【修正-3】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　,"VIdeo, work notes, アイデア, 情報",2024年7月11日 17:57
MGC説明資料-原稿生成 / プロンプト,"work notes, アイデア, コンテンツネタ",2024年7月14日 18:50
MGC説明資料-概要,"work notes, アイデア, コンテンツネタ",2024年7月15日 18:55
MGC説明資料-台本-原稿,"work notes, アイデア, コンテンツネタ",2024年7月16日 11:43
依頼事項メモ,"HP, WP, 修正",2024年7月18日 12:44
ヘッダーメニュー。メッセージやりとり,"HP, WP",2024年7月20日 17:11
役割分担の詳細,,2024年7月23日 10:47
手法案,FX,2024年7月23日 16:45
コンテンツ　アイデア,"アイデア, コンテンツネタ",2024年7月28日 9:34
グエンさんに講座の素晴らしさを簡単に伝える,学び,2024年8月6日 11:08
【修正-4】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　もっと面白おかし,"VIdeo, work notes, アイデア, 情報",2024年8月7日 19:20
【完成】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　もっと面白おかし,"VIdeo, work notes, アイデア, 情報",2024年8月10日 19:03
Google reCAPTCHAの設置、V2化、デザイン修正,"HP, WP, work notes, 学び",2024年8月14日 18:58
ザキヤマより、予約フォームのスマホで日時を選択時に、表示されない問題を相談,"HP, WP, work notes, エラー",2024年8月14日 19:04
【解決】ザキヤマより、予約フォームのスマホで日時を選択時に、表示されない問題,"HP, WP, work notes, アイデア, エラー, 修正",2024年8月17日 13:33
ザキヤマ　調べた予約プラグイン比較,"HP, WP, work notes, アイデア, エラー, 修正",2024年8月17日 13:37
8月29日までに移行しないと消される,work notes,2024年8月22日 14:19
山火事や地震への感謝,"アイデア, 学び, 情報, 気付き",2024年8月26日 16:44
【修正-5】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　もっと面白おかし,"VIdeo, work notes, アイデア, 情報",2024年8月31日 16:38
講座の構成　アイデア,"Service, work notes, コンテンツネタ, 学び, 情報",2024年9月16日 11:07
高次元、特に五次元の存在を主張する理論物理学者,"コンテンツネタ, 情報",2024年9月22日 23:02
【ローンチ部分】ジョセフ・キャンベルの「ヒーローの冒険」で生成した自分物語　もっと面白おかし,"VIdeo, work notes, アイデア, 情報",2024年9月24日 18:19
アナリティクスのトラッキングタグの設置　/作業内容と流れ,"HP, WP, work notes, エラー",2024年9月25日 16:36
占い伝えるアイデア,"Service, アイデア",2024年10月9日 10:25
群馬への引越しに伴う電話番号変更,,2024年11月5日 12:36
メタバースミーティング,,2024年11月13日 1:06
変態トレーダーお父さんキヨサキ　複数の手法検証,,2024年11月26日 16:19
検証さん,"FX, work notes, テスト, 学び",2024年12月14日 17:58
トレードルール案,"FX, 戦略",2024年12月16日 12:20
海外のFX手法検証委員会(パックンち)の検証,,2024年12月17日 18:20
どうしたらFXの手法作りが楽しくなるか？,,2025年1月9日 15:46
体の状況から心理を読み解く技術の種類,,2025年1月12日 10:59
リサ・ランドール（Lisa Randall）方程式,,2025年1月12日 13:16
今、訓練すること　2025年01月15日,"アイデア, コンテンツネタ, 学び, 戦略",2025年1月15日 11:19
ハレちゃん修正,"work notes, 情報",2025年1月15日 15:30
星空勉強会メタバース デザイン　2025年01月15日,"アイデア, コンテンツネタ, 学び, 戦略",2025年1月16日 23:09
手法構築スケジュール,,2025年1月19日 17:49
川本さん　開運・占い講座　第01回目,"work notes, コンテンツネタ",2025年1月23日 18:34
星空勉強会メタバース デザイン　2025年01月25日,"アイデア, コンテンツネタ, 学び, 戦略",2025年1月25日 10:42
開運・占い講座の内容をYouTubeに２つ投稿する,,2025年1月31日 14:49
星空勉強会メタバース デザイン　2025年01月25日,"アイデア, コンテンツネタ, 学び, 戦略",2025年1月31日 15:08
遠藤さん勉強会 2025/03/01,勉強会・講座,2025年1月31日 15:09
トレード日記からの弱点克服,"FX, 学び, 気付き",2025年2月10日 22:34
遠藤さん勉強会 2025/02/08,"勉強会・講座, 学び",2025年2月12日 23:11
"哲学者ソクラテスの「無知の知」から学ぶ ","コンテンツネタ, 学び, 情報, 気付き",2025年2月12日 23:28
川本さん講座 2025/03/24,"勉強会・講座, 学び",2025年2月13日 18:04
哲学者ソクラテスの「無知の知」を物語化,"コンテンツネタ, 学び, 情報, 気付き",2025年2月16日 17:37
動画コンテンツ-ネタ・アイデア,"VIdeo, YouTube, アイデア, コンテンツネタ, 勉強会・講座, 学び, 情報, 気付き",2025年2月17日 11:45
川本さん講座 第02回目,"勉強会・講座, 学び",2025年2月17日 11:50
自動思考をなくしポポルームに行く,"YouTube, コンテンツネタ, 学び, 情報",2025年2月19日 1:13
遠藤さん勉強会 2025/02/15,勉強会・講座,2025年2月28日 0:01
遠藤さん勉強会 2025/03/29,勉強会・講座,2025年3月2日 2:03
質問メモ：HG会社紹介  - 2025-03-10 -,work notes,2025年3月10日 14:49
遠藤さん勉強会 2025/03/08,勉強会・講座,2025年3月12日 12:53
質問メモ：HG会社紹介 - 2025-03-12 -,work notes,2025年3月12日 13:37
キャッチコピー：HG会社紹介,work notes,2025年3月13日 15:00
"ページネーション確認：HG会社紹介 ",work notes,2025年3月14日 11:35
"表紙・質問 回答：HG会社紹介 ",work notes,2025年3月16日 12:44
川本さん講座 第04回目 開催未定,"勉強会・講座, 学び",2025年3月17日 11:04
遠藤さん勉強会 2025/03/15,勉強会・講座,2025年3月17日 11:06
"表紙デザイン確認：HG会社紹介 ",work notes,2025年3月17日 15:51
"ドメイン・メール：HG会社紹介 ",work notes,2025年3月20日 22:33
"中ページデザイン確認：HG会社紹介 ",work notes,2025年3月20日 22:43
"コンセプトページ：HG会社紹介 ",work notes,2025年3月21日 14:47
"質問：HG会社紹介 ",work notes,2025年3月21日 17:09
宇宙講座アンケート,,2025年3月22日 14:28
宇宙講座アンケート-考え方,,2025年3月24日 12:28
遠藤さん勉強会 2025/03/22,勉強会・講座,2025年3月27日 0:01
"新規名刺デザイン,ora",,2025年4月7日 15:34
遠藤さん勉強会 2025/05/17,勉強会・講座,2025年4月9日 11:20
コンセプト,"YouTube, work notes, コンテンツネタ",2025年4月25日 18:31
川本さん講座 第04回目 開催未定,,2025年5月7日 19:55
遠藤さん勉強会 2025/04/12,勉強会・講座,2025年5月9日 16:42
,,2025年5月12日 11:41
遠藤さん勉強会 2025/05/10,勉強会・講座,2025年5月12日 11:41
宇宙勉強 YouTube アイデア,,2025年5月13日 11:06
遠藤さん勉強会 2025/05/31,学び,2025年5月29日 22:34
何故か、群馬の電話番号が九州になってる　修正,"HP, WP, work notes, エラー, 修正",2025年6月6日 10:13
山崎さんに講座紹介プロンプト,,2025年8月27日 12:32
山崎さん講座の相談AI,,2025年8月29日 10:53
トレンドライントレード,FX,2025年9月11日 18:11
AMG、スイープ手法　検証で大発見、7ペア検証,"FX, テスト, 学び",2025年9月11日 18:22
AMG、スイープ手法を徹底解説！,"FX, テスト, 学び",2025年9月11日 18:26
おバカな妹｜水島翔さんの手法,FX,2025年9月11日 18:51
出来高により、大口の動きを予測する,"FX, YouTube, 情報",2025年9月29日 12:19
AIメソッド集,"AI, 習慣",2025年10月5日 10:35
自己調整システム,習慣,2025年10月5日 11:42
大口をカモに！大口の損切りを利益に！,"FX, YouTube",2025年10月16日 16:33
機関投資家をハックしろ！！-市場構造と流動性を学ぶ-,FX,2025年10月16日 16:35
WMAの GMMAの手法,,2025年10月16日 16:38
"【出来高チャート手法】知らないとマジで後悔する大口投資家の参入を見抜く方法 ",,2025年10月16日 16:39
EMA+出来高インジ,,2025年10月29日 19:45
覇王色のカモ、OBV手法,,2025年11月2日 10:19
川本さん開運説明 資料,,2025年11月7日 9:48
ショート動画、自動化について,,2025年11月22日 10:51
AIトレンドインジケーター手法,FX,2025年11月24日 16:52
2波の2波とMA2本,,2025年11月24日 20:59
アイデア・メモ,"アイデア, コンテンツネタ",2025年12月4日 9:37
機関投資家の動きをインジが教える,,2025年12月7日 11:47
12月 占い,,2025年12月12日 10:21
浮遊街やっている人のYouTube,"Book Mark, VIdeo, アイデア, 情報, 戦略",2025年12月19日 10:23
玉川さん、清徳会カード・シール,work notes,2025年12月20日 12:39
集客Gem作成アンケート,,2025年12月22日 12:15
PROGRESS集客用 ペルソナ,"AI, work notes",2025年12月24日 14:19
宇宙の法則の学びの流れが説明プロンプト,"プロンプト, 勉強会・講座, 資料",2025年12月27日 21:21
ポポルームに行くために（心理の変容の2段階から3段階へ移行するために）,"Service, work notes, 勉強会・講座, 情報, 気付き, 資料",2025年12月29日 20:31
NotebookLMで手法、EA作成,"AI, Book Mark, EA, FX, YouTube, アイデア",2025年12月30日 10:07
ＤＲＳ集客用 Gem ペルソナ,"AI, work notes",2026年1月6日 11:23
"1月 占い ",,2026年1月11日 0:02
これからのYouTubeとAI戦略,"マーケティング, 勉強会・講座, 情報, 戦略, 資料",2026年1月19日 10:59
ライフサイクルから見た、これからの経営理念,"Book Mark, work notes, コンテンツネタ, マーケティング, 勉強会・講座, 学び, 情報, 戦略, 資料",2026年1月19日 11:42
成長の5段階プロセス：自己診断と活用ガイド,"work notes, アイデア, 勉強会・講座, 学び, 情報, 気付き, 資料",2026年1月19日 16:03
VrrewなしでAntigravityで自動動画生成,"AI, YouTube, アイデア, 学び, 情報",2026年1月30日 8:55
2月 占い,,2026年2月2日 11:12
ファンダ手法,"FX, アイデア, テスト, 学び, 戦略",2026年2月4日 15:26
悟りによる仮想現実の未来創造のメモ,"meeting notes, work notes, コンテンツネタ, 勉強会・講座, 情報, 資料",2026年2月14日 17:07
映画や漫画から学ぶ,"アイデア, コンテンツネタ, 勉強会・講座, 気付き, 習慣",2026年3月5日 22:22
習慣化で自然と感謝・サレンダー・完璧,"アイデア, コンテンツネタ, 勉強会・講座, 学び, 気付き, 習慣",2026年3月5日 22:31
サイクル論と心の成長,,2026年3月7日 9:51
川本さん開運勉強会,,2026年3月25日 8:41
自己受容による充足状態の確立とシステム統合,,2026年3月31日 12:23
"アNEWS -会員-  カテゴリー   ",,2026年4月1日 20:59
アNEWS -会員-  初日UP動画内容案,"アイデア, 資料",2026年4月1日 21:02
川本さん開運勉強会,"勉強会・講座, 資料",2026年4月6日 12:10
PINT サーバー移動・ドメイン移管,,2026年4月9日 13:36
AIが考えた提案方法,,2026年4月10日 11:22
会員サービスローンチスケジュール,"YouTube, work notes, 資料",2026年4月12日 0:51
会員サービス告知動画：台本,,2026年4月13日 0:13
会員サービス：動アイデアメモ,,2026年4月13日 10:31
一般向け動画の最後に流す告知,,2026年4月15日 1:06
会員向け：コンテンツのアイデア・ネタのメモ,,2026年4月15日 13:45
会員アンケート,,2026年4月18日 14:35
動画の概要欄の内容,work notes,2026年4月18日 23:13
https://www.youtube.com/@kensho-san｜裁量なし勝率60％リスクリワード1:2,,2026年4月20日 14:39
https://www.youtube.com/@kensho-san｜スキャル,,2026年4月20日 22:28
https://www.youtube.com/@kensho-san｜裁量なし低勝率、高リスクリワード、再現率高そうなガチガチ手法,,2026年4月22日 11:06
ゼウス申し込み用紙の記入,"HP, WP, work notes, 資料",2026年4月23日 23:50
講座の方や、この開運の構造などの全容を理解する資料,,2026年4月25日 11:10
用語集,,2026年4月30日 12:22
潜在意識を弱める習慣集,,2026年4月30日 12:23
5月 占い,,2026年5月1日 10:40
本田健さん「人間関係のマトリックス」,"Service, 勉強会・講座, 資料",2026年5月4日 19:12
心がブレたときの「潜在意識リセット・ルール」,,2026年5月30日 23:06
